invoice_number,true_anomaly,anomaly_risk_score,predicted_anomaly,original_anomaly_type,original_explanation
INV7685112,0,0.0,0,UNKNOWN,UNKNOWN
INV2414295,0,0.0,0,UNKNOWN,UNKNOWN
INV1688184,0,0.0,0,UNKNOWN,UNKNOWN
INV7281767,0,0.0,0,UNKNOWN,UNKNOWN
INV6747670,0,0.0,0,UNKNOWN,UNKNOWN
INV6547472,0,0.0,0,UNKNOWN,UNKNOWN
INV2621040,0,0.0,0,UNKNOWN,UNKNOWN
INV9744440,0,0.0,0,UNKNOWN,UNKNOWN
INV8408944,0,0.0,0,UNKNOWN,UNKNOWN
INV7640998,0,0.0,0,UNKNOWN,UNKNOWN
INV3781482,0,0.0,0,UNKNOWN,UNKNOWN
INV3513859,0,0.0,0,UNKNOWN,UNKNOWN
INV9245120,0,0.0,0,UNKNOWN,UNKNOWN
INV9255120,0,0.0,0,UNKNOWN,UNKNOWN
INV9524058,0,0.0,0,UNKNOWN,UNKNOWN
INV3391409,0,0.0,0,UNKNOWN,UNKNOWN
INV2597492,0,0.0,0,UNKNOWN,UNKNOWN
INV2497846,0,0.0,0,UNKNOWN,UNKNOWN
INV6190836,0,0.0,0,UNKNOWN,UNKNOWN
INV5963797,0,0.0,0,UNKNOWN,UNKNOWN
INV3391409,0,0.0,0,UNKNOWN,UNKNOWN
INV1814068,0,0.0,0,UNKNOWN,UNKNOWN
INV2280275,0,0.0,0,UNKNOWN,UNKNOWN
INV8519008,0,0.0,0,UNKNOWN,UNKNOWN
INV7967118,0,0.0,0,UNKNOWN,UNKNOWN
INV1782018,0,0.0,0,UNKNOWN,UNKNOWN
INV8678287,0,0.0,0,UNKNOWN,UNKNOWN
INV1565767,0,0.0,0,UNKNOWN,UNKNOWN
INV8747087,0,0.0,0,UNKNOWN,UNKNOWN
INV8080224,0,0.0,0,UNKNOWN,UNKNOWN
INV3946069,0,0.0,0,UNKNOWN,UNKNOWN
INV6771698,0,0.0,0,UNKNOWN,UNKNOWN
INV8939717,0,0.0,0,UNKNOWN,UNKNOWN
INV7355029,0,0.0,0,UNKNOWN,UNKNOWN
INV1449377,0,0.0,0,UNKNOWN,UNKNOWN
INV7079439,0,0.0,0,UNKNOWN,UNKNOWN
INV5556855,0,0.0,0,UNKNOWN,UNKNOWN
INV6702422,0,0.0,0,UNKNOWN,UNKNOWN
INV4219181,0,0.0,0,UNKNOWN,UNKNOWN
INV5088168,0,0.0,0,UNKNOWN,UNKNOWN
INV5544368,0,0.0,0,UNKNOWN,UNKNOWN
INV4060645,0,0.0,0,UNKNOWN,UNKNOWN
INV7905468,0,0.0,0,UNKNOWN,UNKNOWN
INV5265295,0,0.0,0,UNKNOWN,UNKNOWN
INV1505420,0,0.0,0,UNKNOWN,UNKNOWN
INV7543249,0,0.0,0,UNKNOWN,UNKNOWN
INV5068592,0,0.0,0,UNKNOWN,UNKNOWN
INV3199093,0,0.0,0,UNKNOWN,UNKNOWN
INV7667335,0,0.0,0,UNKNOWN,UNKNOWN
INV5574997,0,0.0,0,UNKNOWN,UNKNOWN
